Comuna;Atenciones
01-popular;1416
02-santa cruz;724
03-manrique;1270
04-aranjuez;1474
05-castilla;1470
06-doce de octubre;1234
07-robledo;1288
08-villa hermosa;1321
09-buenos aires;1167
10-la candelaria;1128
11-laureles estadio;716
12-la américa;1010
13-san javier;1013
14-el poblado;677
15-guayabal;653
16-belén;2775
50-corregimiento de san sebastián de palmitas;39
60-corregimiento de san cristóbal;763
70-corregimiento de altavista;486
80-corregimiento de san antonio de prado;1464
90-corregimiento de santa elena;545
99-otro;0
