Sedes;Atenciones
cedezo altavista;1599
cedezo aranjuez;4310
cedezo belen;8102
cedezo buenos aires;0
cedezo castilla;5956
cedezo doce de octubre;435
cedezo guayabal;2226
cedezo la america;820
cedezo la candelaria;4323
cedezo laureles-estadio;369
cedezo manrique;3823
cedezo nuevo occidente;1016
cedezo poblado;1112
cedezo popular;4164
cedezo robledo;3054
cedezo san antonio de prado;2945
cedezo san cristobal;2499
cedezo san javier;6450
cedezo san sebastian de palmitas;1248
cedezo santa cruz;1126
cedezo santa elena;1787
cedezo villa hermosa;8067
