Comuna;Atenciones
01-popular;520
02-santa cruz;161
03-manrique;386
04-aranjuez;734
05-castilla;572
06-doce de octubre;295
07-robledo;787
08-villa hermosa;997
09-buenos aires;514
10-la candelaria;546
11-laureles estadio;232
12-la américa;487
13-san javier;1043
14-el poblado;129
15-guayabal;527
16-belén;935
50-corregimiento de san sebastián de palmitas;343
60-corregimiento de san cristóbal;980
70-corregimiento de altavista;118
80-corregimiento de san antonio de prado;1164
90-corregimiento de santa elena;796
99-otro;122
