Comuna;Atenciones
01-popular;3911
02-santa cruz;1869
03-manrique;3544
04-aranjuez;4127
05-castilla;4049
06-doce de octubre;3153
07-robledo;3350
08-villa hermosa;5302
09-buenos aires;3279
10-la candelaria;3102
11-laureles estadio;2081
12-la américa;2566
13-san javier;4743
14-el poblado;1533
15-guayabal;1624
16-belén;6056
50-corregimiento de san sebastián de palmitas;1248
60-corregimiento de san cristóbal;3360
70-corregimiento de altavista;1645
80-corregimiento de san antonio de prado;3114
90-corregimiento de santa elena;1771
99-otro;4
