Sedes;Atenciones
cedezo altavista;441
cedezo aranjuez;1537
cedezo belen;3116
cedezo buenos aires;560
cedezo castilla;1986
cedezo doce de octubre;339
cedezo guayabal;784
cedezo la america;589
cedezo la candelaria;1595
cedezo laureles-estadio;550
cedezo manrique;1434
cedezo nuevo occidente;253
cedezo poblado;800
cedezo popular;1417
cedezo robledo;1218
cedezo san antonio de prado;1472
cedezo san cristobal;513
cedezo san javier;1251
cedezo san sebastian de palmitas;37
cedezo santa cruz;526
cedezo santa elena;494
cedezo villa hermosa;1721
